name,image
          Captain America STRIKE Stealth Suit Navy Blue Cosplay Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Dope_Captain_America_STRIKE_Stealth_Uniform_Navy_Blue_Hoodie_1_512x.PNG?v=1560842596
          DC Comics Green Arrow Majestic Design Green Vibrant Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Green_Arrow_Majestic_Design_Green_Vibrant_Hoodie_1_512x.jpg?v=1560842332
          DC Arrow & Villain Deathstroke Logo Green Stripes Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Arrow___Villain_Deathstroke_Logo_Green_Stripes_Hoodie_1_512x.jpg?v=1560842261
          Cool Supergirl Kara Danvers Flying Superheroine Blue Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Cool_Supergirl_Kara_Danvers_Flying_Superheroine_Blue_Hoodie_1_512x.jpg?v=1560842150
          Awesome Deadpool Superhero Symbol & Glowing Eyes Red Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Awesome_Deadpool_Superhero_Symbol___Glowing_Eyes_Red_Hoodie_1_512x.jpg?v=1560842086
          Amazing Animated Supergirl In Blue Galactic Universe Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Amazing_Animated_Supergirl_In_Blue_Galactic_Universe_Hoodie_1_512x.jpg?v=1560841829
          Flying Captain Marvel Shazam DC Comics Lightning Blue Chic Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Flying_Captain_Marvel_Shazam_DC_Comics_Lightning_Blue_Chic_Hoodie_-_1_512x.jpg?v=1550041316
          DC Comics Young Billy Shazam Magical Transformation Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Young_Billy_Shazam_Magical_Transformation_Hoodie_1_512x.jpg?v=1550041063
          DC Comics Superhero Shazam Stylish White Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Superhero_Shazam_Stylish_White_Hoodie_-_2_512x.jpg?v=1550040913
          DC Comics Shazam Godly Lightning Blasts 3D Print Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Shazam_Godly_Lightning_Blasts_3D_Print_Hoodie_1_512x.jpg?v=1550040631
          DC Comics Shazam Billy Batson Portrait 3D Print Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Shazam_Billy_Batson_Portrait_3D_Print_Hoodie_1_512x.jpg?v=1550040362
          DC Comics Powerful Captain Marvel Shazam Golden Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Powerful_Captain_Marvel_Shazam_Golden_Hoodie_1_512x.jpg?v=1550040150
          DC Comics Mightiest Mortal Shazam Epic Print Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Mightiest_Mortal_Shazam_Epic_Print_Hoodie_1_512x.jpg?v=1550039655
          DC Comics Flying Captain Marvel Shazam Modern Blue Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Flying_Captain_Marvel_Shazam_Modern_Blue_Hoodie_-_1_512x.jpg?v=1550039374
          DC Comics Epic Godly Captain Marvel Shazam White Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Epic_Godly_Captain_Marvel_Shazam_White_Hoodie_1_512x.jpg?v=1550039161
          DC Comics Captain Marvel Shazam! Logo Cool 3D Print Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/DC_Comics_Captain_Marvel_Shazam_Logo_Cool_3D_Print_Hoodie_1_512x.jpg?v=1550039003
          Captain Marvel Superhero Shazam Stand Pose Trendy Red Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Captain_Marvel_Superhero_Shazam_Stand_Pose_Trendy_Red_Hoodie_-_1_512x.jpg?v=1550038842
          Captain Marvel Superhero Epic Charged Electric Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Captain_Marvel_Superhero_Epic_Charged_Electric_Hoodie_-_1_512x.jpg?v=1550038663
          Captain Marvel Superhero Electrifying Fashionable Blue Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Captain_Marvel_Superhero_Electrifying_Fashionable_Blue_Hoodie_-_1_512x.jpg?v=1550038523
          Captain Marvel Shazam Superhero Simple Minimalist Red Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/Captain_Marvel_Shazam_Superhero_Simple_Minimalist_Red_Hoodie_-_1_512x.jpg?v=1550038375
          X-Men Scott Summers Cyclops Dope Blue Suit Zip Up Hoodie        ,//cdn.shopify.com/s/files/1/1801/9233/products/X-Men_Scott_Summers_Cyclops_Dope_Blue_Suit_Zip_Up_Hoodie_-_1_512x.png?v=1546298019
